Cluster,Hybrid
55,P1338:P2387
27,P1339:P1978
21,P1339:P1983
27,P1339:P1988
55,P1339:P2315
49,P1340:P2030
44,P1342:P1979
44,P1343:P1978
66,P1343:P1980
44,P1343:P1985
66,P1343:P1987
44,P1343:P1988
9,P1343:P2314
9,P1343:P2389
9,P1343:P2623
44,P1343:P2627
44,P1344:P1978
44,P1345:P1978
31,P1346:P1384
31,P1346:P1385
31,P1346:P1386
31,P1346:P1390
31,P1346:P1392
31,P1346:P1398
31,P1346:P1402
31,P1346:P1405
31,P1346:P1410
31,P1346:P1522
31,P1346:P1548
31,P1346:P1610
31,P1346:P1611
52,P1346:P1618
31,P1346:P1676
23,P1346:P1687
31,P1346:P1716
31,P1346:P1729
31,P1346:P1732
31,P1346:P1733
31,P1346:P1743
31,P1346:P1748
31,P1346:P1835
31,P1346:P1931
52,P1346:P2002
31,P1346:P2004
5,P1347:P1537
5,P1348:P1537
23,P1349:P1687
30,P1349:P1729
23,P1350:P1697
31,P1351:P1394
31,P1351:P1590
23,P1351:P1687
31,P1351:P1716
31,P1351:P1729
31,P1352:P1379
31,P1352:P1392
31,P1352:P1393
31,P1352:P1403
31,P1352:P1405
31,P1352:P1515
31,P1352:P1526
31,P1352:P1556
31,P1352:P1567
31,P1352:P1568
31,P1352:P1570
31,P1352:P1573
31,P1352:P1585
31,P1352:P1605
31,P1352:P1611
31,P1352:P1622
31,P1352:P1624
31,P1352:P1633
31,P1352:P1716
31,P1352:P1722
31,P1352:P1732
31,P1352:P1748
31,P1352:P2004
23,P1353:P1687
23,P1354:P1610
31,P1355:P1411
23,P1355:P1687
31,P1355:P1729
31,P1356:P1392
23,P1356:P1687
31,P1356:P1928
5,P1357:P1394
14,P1357:P1581
23,P1357:P1686
23,P1357:P1687
14,P1357:P1717
30,P1357:P1729
5,P1357:P1733
30,P1358:P1729
30,P1359:P1729
38,P1360:P1716
14,P1361:P1581
5,P1361:P1733
5,P1362:P1394
23,P1362:P1745
5,P1363:P1572
5,P1363:P1590
5,P1363:P1732
23,P1363:P1734
14,P1363:P1737
5,P1363:P2004
40,P1364:P1722
40,P1365:P1380
40,P1365:P1391
40,P1365:P1411
40,P1365:P1415
40,P1365:P1537
40,P1365:P1622
40,P1365:P1737
5,P1366:P1392
5,P1366:P1394
14,P1366:P1397
23,P1366:P1518
14,P1366:P1548
14,P1366:P1574
14,P1366:P1677
30,P1366:P1729
14,P1366:P1914
40,P1367:P1536
40,P1367:P1716
14,P1368:P1677
23,P1368:P1687
23,P1368:P1703
14,P1369:P1379
5,P1369:P1381
23,P1369:P1606
23,P1370:P1697
30,P1370:P1729
23,P1370:P1748
23,P1371:P1687
23,P1371:P1734
5,P1372:P1716
5,P1373:P1572
5,P1373:P1590
23,P1373:P1687
5,P1374:P1733
38,P1375:P1394
5,P1375:P1407
14,P1375:P1409
64,P1375:P1737
38,P1376:P1394
23,P1376:P1687
23,P1377:P1745
14,P1379:P1445
59,P1379:P1446
10,P1379:P1858
15,P1379:P1866
30,P1392:P1669
5,P1393:P1665
40,P1394:P1431
38,P1394:P1434
5,P1394:P1476
38,P1394:P2653
38,P1394:P2654
38,P1394:P2657
38,P1395:P2654
5,P1401:P1669
5,P1404:P1669
30,P1406:P1669
52,P1414:P2654
40,P1431:P1688
23,P1432:P1697
30,P1432:P1729
30,P1433:P1729
38,P1435:P1716
23,P1436:P1748
5,P1438:P1928
39,P1439:P1537
64,P1440:P1706
5,P1441:P1716
39,P1442:P1537
16,P1442:P1567
16,P1443:P1567
5,P1444:P1716
59,P1446:P1706
59,P1446:P1748
5,P1447:P1716
39,P1448:P1537
5,P1449:P1590
47,P1450:P1499
70,P1451:P1581
5,P1451:P1625
70,P1451:P1753
5,P1452:P1716
16,P1453:P1733
68,P1455:P1493
68,P1456:P1493
30,P1457:P1729
68,P1460:P1581
12,P1461:P1729
53,P1462:P1731
70,P1463:P1753
12,P1464:P1536
5,P1465:P1537
5,P1467:P1567
47,P1468:P1499
70,P1469:P1753
39,P1470:P1537
68,P1470:P1788
61,P1471:P1567
5,P1472:P1590
5,P1472:P1716
30,P1473:P1523
30,P1473:P1576
30,P1473:P1579
30,P1473:P1729
5,P1473:P1928
23,P1474:P1686
5,P1475:P1716
14,P1476:P1726
30,P1476:P1729
5,P1476:P1732
30,P1477:P1729
45,P1477:P1978
45,P1478:P1978
45,P1478:P1979
33,P1478:P2317
33,P1478:P2662
45,P1479:P1978
33,P1480:P1481
45,P1480:P1978
45,P1480:P1979
33,P1480:P2312
51,P1484:P2703
48,P1492:P1507
47,P1492:P1651
30,P1492:P1669
48,P1493:P1507
15,P1493:P1508
15,P1493:P1867
63,P1494:P1856
47,P1499:P1504
47,P1499:P1506
47,P1499:P1509
47,P1499:P1651
47,P1499:P1663
47,P1499:P1856
47,P1499:P1858
47,P1499:P1859
47,P1499:P1862
47,P1499:P1877
47,P1499:P1893
47,P1499:P2045
47,P1499:P2150
47,P1499:P2151
71,P1501:P2014
71,P1501:P2017
71,P1501:P2462
71,P1501:P2474
71,P1501:P2635
71,P1501:P2700
71,P1501:P2701
71,P1501:P2703
59,P1502:P1716
16,P1503:P1733
39,P1504:P1537
15,P1504:P1624
15,P1504:P1627
59,P1504:P1733
15,P1504:P2074
39,P1505:P1537
59,P1505:P1567
59,P1505:P1584
15,P1505:P1624
70,P1505:P1753
48,P1507:P1528
48,P1507:P1533
52,P1507:P1534
48,P1507:P1536
48,P1507:P1559
48,P1507:P1560
48,P1507:P1566
48,P1507:P1581
48,P1507:P1585
48,P1507:P1587
48,P1507:P1590
48,P1507:P1602
48,P1507:P1604
48,P1507:P1628
48,P1507:P1720
48,P1507:P1727
48,P1507:P1750
48,P1507:P1753
48,P1507:P1835
48,P1507:P1923
48,P1507:P1932
48,P1507:P1936
64,P1509:P1612
47,P1509:P1836
44,P1510:P1978
51,P1511:P2703
30,P1521:P1669
5,P1524:P1670
5,P1527:P1653
63,P1536:P1856
5,P1537:P1639
39,P1537:P1651
5,P1537:P1665
63,P1537:P1856
39,P1537:P1857
39,P1537:P1866
39,P1537:P1870
39,P1537:P1871
39,P1537:P1875
39,P1537:P1879
39,P1537:P1888
39,P1537:P1905
39,P1537:P2011
67,P1537:P2013
39,P1537:P2151
59,P1546:P1864
30,P1550:P1669
10,P1565:P1662
30,P1565:P1669
10,P1565:P1864
59,P1566:P1854
5,P1567:P1640
5,P1567:P1666
5,P1567:P1670
5,P1567:P1876
63,P1581:P1651
10,P1581:P1862
59,P1581:P1878
23,P1589:P1665
38,P1590:P2657
30,P1594:P1669
26,P1595:P1875
67,P1595:P2012
10,P1596:P1662
67,P1596:P2013
15,P1612:P1854
30,P1615:P1669
15,P1624:P1854
15,P1624:P1866
10,P1624:P2011
59,P1625:P1864
16,P1625:P2011
42,P1627:P1638
42,P1627:P1661
63,P1627:P1856
5,P1629:P1669
39,P1629:P2151
41,P1633:P1656
58,P1634:P1857
9,P1636:P2317
5,P1640:P1716
61,P1641:P1733
5,P1642:P1716
68,P1643:P1788
5,P1644:P1928
52,P1645:P1788
64,P1646:P1722
5,P1647:P1733
5,P1647:P1928
5,P1648:P1731
16,P1649:P1716
16,P1651:P1733
70,P1651:P1753
16,P1652:P1733
70,P1654:P1753
3,P1655:P1797
10,P1655:P1961
10,P1657:P1946
43,P1658:P1776
10,P1660:P1753
5,P1661:P1733
30,P1661:P1927
5,P1661:P1932
10,P1662:P1753
30,P1662:P1834
5,P1663:P1733
5,P1664:P1716
5,P1665:P1731
30,P1665:P1926
5,P1665:P1928
5,P1666:P1928
52,P1667:P1687
52,P1667:P1753
64,P1668:P1722
5,P1668:P1928
64,P1669:P1722
30,P1669:P1916
30,P1669:P1920
5,P1669:P1928
30,P1669:P1933
30,P1669:P1934
30,P1669:P1936
30,P1669:P1963
30,P1669:P2223
64,P1670:P1722
5,P1671:P1716
5,P1672:P1731
64,P1673:P1733
10,P1673:P1753
43,P1673:P1776
19,P1673:P1958
18,P1682:P2300
52,P1687:P1851
40,P1687:P2668
38,P1688:P2653
23,P1688:P2692
38,P1691:P2654
38,P1697:P2653
38,P1697:P2654
38,P1711:P2654
59,P1716:P1854
59,P1716:P1855
67,P1716:P2016
5,P1716:P2656
64,P1722:P2017
64,P1722:P2658
40,P1722:P2668
64,P1722:P2692
64,P1722:P2696
63,P1731:P1856
41,P1731:P1862
16,P1731:P2011
59,P1732:P1850
5,P1733:P1849
16,P1733:P1857
58,P1733:P1860
41,P1733:P1862
39,P1733:P1888
64,P1733:P1897
51,P1733:P1900
64,P1738:P2695
38,P1745:P2654
51,P1750:P2699
70,P1753:P1853
10,P1753:P1858
70,P1753:P1860
10,P1753:P1861
10,P1753:P1873
70,P1753:P1878
10,P1753:P1897
10,P1753:P1903
70,P1753:P2021
70,P1753:P2046
10,P1753:P2066
70,P1753:P2147
70,P1753:P2149
70,P1753:P2151
10,P1753:P2175
70,P1753:P2176
10,P1753:P2178
10,P1753:P2184
10,P1753:P2191
10,P1753:P2196
10,P1753:P2500
70,P1753:P2530
36,P1757:P1853
36,P1759:P1853
36,P1759:P1865
36,P1759:P2151
26,P1762:P1875
10,P1763:P2188
51,P1763:P2703
15,P1767:P1853
26,P1770:P1875
41,P1771:P1874
43,P1776:P1883
43,P1776:P1886
43,P1776:P2150
51,P1778:P2699
42,P1778:P2702
51,P1778:P2703
51,P1782:P2699
10,P1784:P1858
70,P1784:P2047
70,P1784:P2299
51,P1785:P2703
36,P1786:P1865
3,P1795:P2058
3,P1797:P2051
3,P1797:P2065
52,P1797:P2152
3,P1797:P2538
36,P1798:P1853
63,P1798:P1856
73,P1798:P2063
73,P1798:P2182
73,P1798:P2191
19,P1798:P2545
67,P1803:P2698
66,P1809:P2059
18,P1809:P2150
2,P1809:P2188
0,P1810:P2306
0,P1810:P2376
2,P1810:P2700
0,P1815:P2362
44,P1819:P2057
74,P1821:P2348
74,P1821:P2369
26,P1822:P1875
15,P1826:P2118
62,P1829:P1887
63,P1832:P1856
63,P1834:P1856
62,P1838:P1887
62,P1841:P1887
50,P1842:P1884
67,P1845:P2012
40,P1846:P2668
5,P1852:P1928
59,P1854:P1928
63,P1856:P1920
63,P1856:P1923
63,P1856:P1950
63,P1856:P2223
58,P1857:P1927
10,P1862:P2068
59,P1864:P1928
74,P1872:P1918
59,P1872:P1928
41,P1873:P1927
59,P1878:P1928
41,P1879:P1971
19,P1880:P1958
10,P1881:P1946
28,P1882:P2025
10,P1883:P1946
28,P1885:P2025
62,P1887:P2038
51,P1895:P1971
51,P1896:P2294
51,P1903:P1971
52,P1904:P2085
28,P1905:P1996
28,P1905:P1998
34,P1905:P2035
34,P1906:P2120
22,P1907:P2126
18,P1908:P2508
18,P1908:P2550
18,P1908:P2551
51,P1910:P2703
51,P1911:P2703
0,P1912:P2151
38,P1914:P2653
67,P1924:P2012
39,P1929:P2151
67,P1935:P2012
67,P1942:P2012
10,P1946:P2011
67,P1946:P2012
10,P1946:P2179
26,P1949:P2148
10,P1951:P2150
73,P1954:P2176
7,P1957:P2151
70,P1962:P2151
67,P1965:P2012
50,P1968:P2174
0,P1968:P2176
0,P1968:P2302
2,P1968:P2528
0,P1968:P2538
0,P1968:P2539
0,P1977:P2062
44,P1978:P2044
44,P1978:P2151
8,P1978:P2345
44,P1978:P2363
27,P1978:P2369
0,P1978:P2381
44,P1978:P2476
44,P1978:P2522
44,P1978:P2552
0,P1978:P2640
44,P1978:P2682
0,P1978:P2699
0,P1979:P2201
0,P1979:P2362
0,P1979:P2364
8,P1979:P2371
0,P1979:P2474
8,P1979:P2494
8,P1979:P2498
0,P1979:P2507
44,P1979:P2682
0,P1979:P2697
66,P1980:P2382
66,P1980:P2479
66,P1980:P2525
67,P1980:P2638
44,P1981:P2156
0,P1981:P2168
0,P1981:P2169
44,P1981:P2186
44,P1981:P2359
27,P1981:P2369
8,P1981:P2486
0,P1981:P2487
0,P1981:P2507
0,P1981:P2516
0,P1981:P2700
21,P1983:P2186
21,P1983:P2199
21,P1983:P2356
21,P1983:P2369
21,P1983:P2488
21,P1983:P2494
21,P1983:P2498
21,P1983:P2512
21,P1983:P2513
21,P1983:P2516
21,P1983:P2517
21,P1983:P2519
37,P1983:P2525
21,P1983:P2700
44,P1984:P2366
0,P1984:P2525
52,P1985:P2162
66,P1987:P2063
44,P1988:P2359
0,P1989:P2201
0,P1989:P2363
8,P1989:P2371
44,P1989:P2374
0,P1989:P2474
44,P1989:P2497
0,P1989:P2534
67,P1991:P2012
51,P1999:P2703
38,P2004:P2653
38,P2004:P2654
18,P2008:P2655
38,P2010:P2654
28,P2012:P2025
67,P2012:P2077
67,P2012:P2078
67,P2012:P2227
67,P2012:P2249
67,P2012:P2267
67,P2012:P2278
28,P2018:P2025
10,P2019:P2225
0,P2021:P2098
19,P2022:P2223
11,P2025:P2048
28,P2025:P2053
28,P2025:P2058
11,P2025:P2061
11,P2025:P2153
11,P2025:P2160
11,P2025:P2165
11,P2025:P2167
28,P2025:P2170
28,P2025:P2179
11,P2025:P2186
28,P2025:P2188
28,P2025:P2194
28,P2025:P2195
11,P2025:P2197
28,P2025:P2202
28,P2025:P2305
52,P2025:P2349
11,P2025:P2351
11,P2025:P2361
11,P2025:P2371
11,P2025:P2377
28,P2025:P2384
28,P2025:P2477
28,P2025:P2489
11,P2025:P2496
11,P2025:P2503
28,P2025:P2510
11,P2025:P2521
28,P2025:P2527
11,P2025:P2532
28,P2025:P2536
28,P2025:P2539
28,P2025:P2555
28,P2025:P2640
28,P2025:P2685
46,P2026:P2344
46,P2026:P2373
46,P2026:P2380
46,P2029:P2476
46,P2029:P2559
46,P2030:P2049
13,P2030:P2149
13,P2030:P2153
46,P2030:P2155
46,P2030:P2161
46,P2030:P2185
49,P2030:P2200
13,P2030:P2353
13,P2030:P2355
46,P2030:P2358
46,P2030:P2359
46,P2030:P2363
13,P2030:P2378
13,P2030:P2379
46,P2030:P2492
13,P2030:P2496
46,P2030:P2531
46,P2030:P2537
49,P2030:P2542
46,P2030:P2555
46,P2030:P2697
0,P2031:P2059
18,P2042:P2050
15,P2048:P2074
18,P2050:P2076
73,P2052:P2102
36,P2056:P2078
44,P2057:P2100
36,P2057:P2246
13,P2057:P2332
74,P2057:P2572
52,P2057:P2593
20,P2058:P2073
34,P2058:P2083
73,P2058:P2122
73,P2060:P2081
13,P2067:P2347
49,P2067:P2383
51,P2075:P2528
20,P2086:P2476
20,P2094:P2476
73,P2102:P2146
73,P2102:P2343
67,P2102:P2698
22,P2119:P2180
34,P2120:P2150
34,P2120:P2151
34,P2120:P2181
20,P2123:P2507
20,P2125:P2153
44,P2127:P2167
34,P2135:P2151
34,P2135:P2495
50,P2135:P2500
50,P2135:P2501
50,P2135:P2502
50,P2135:P2504
34,P2139:P2186
17,P2144:P2346
51,P2145:P2294
52,P2149:P2271
52,P2153:P2593
17,P2153:P2631
13,P2154:P2435
17,P2154:P2448
44,P2154:P2576
55,P2154:P2621
55,P2154:P2633
44,P2156:P2262
18,P2156:P2453
55,P2156:P2633
8,P2157:P2285
18,P2158:P2453
19,P2164:P2223
44,P2166:P2244
20,P2167:P2261
11,P2167:P2588
44,P2171:P2285
9,P2171:P2290
4,P2171:P2322
9,P2171:P2387
11,P2171:P2413
9,P2171:P2446
18,P2171:P2453
44,P2171:P2592
21,P2171:P2597
21,P2171:P2615
3,P2176:P2223
10,P2177:P2225
19,P2179:P2223
10,P2179:P2231
3,P2182:P2223
44,P2186:P2258
2,P2188:P2307
19,P2189:P2223
55,P2199:P2315
20,P2201:P2252
9,P2201:P2336
0,P2201:P2567
27,P2205:P2322
55,P2207:P2620
13,P2208:P2334
51,P2211:P2703
19,P2223:P2302
19,P2223:P2636
27,P2244:P2369
44,P2244:P2370
20,P2253:P2476
20,P2253:P2507
37,P2255:P2525
19,P2256:P2639
44,P2257:P2476
21,P2259:P2380
20,P2260:P2507
0,P2262:P2559
28,P2268:P2301
11,P2275:P2380
0,P2280:P2533
0,P2280:P2541
0,P2285:P2304
0,P2306:P2399
9,P2309:P2478
51,P2310:P2703
17,P2314:P2514
51,P2317:P2703
6,P2319:P2369
11,P2333:P2380
13,P2334:P2351
13,P2334:P2353
13,P2334:P2355
13,P2334:P2368
13,P2334:P2379
13,P2334:P2385
13,P2334:P2525
11,P2335:P2380
52,P2338:P2703
34,P2340:P2375
49,P2342:P2432
20,P2352:P2407
35,P2354:P2585
17,P2355:P2621
0,P2356:P2604
11,P2359:P2417
18,P2365:P2453
0,P2368:P2429
27,P2369:P2393
55,P2369:P2451
55,P2369:P2457
55,P2369:P2633
11,P2371:P2417
18,P2375:P2453
25,P2380:P2412
11,P2380:P2427
11,P2380:P2434
11,P2380:P2461
22,P2380:P2480
17,P2385:P2621
28,P2416:P2558
20,P2426:P2545
37,P2427:P2525
49,P2432:P2514
51,P2439:P2703
55,P2440:P2666
55,P2442:P2665
18,P2453:P2682
9,P2457:P2476
9,P2457:P2524
55,P2457:P2558
8,P2486:P2592
9,P2515:P2633
17,P2523:P2632
37,P2525:P2596
37,P2525:P2616
0,P2526:P2567
0,P2529:P2604
34,P2535:P2579
28,P2535:P2583
52,P2537:P2593
27,P2543:P2595
55,P2543:P2633
0,P2544:P2592
52,P2557:P2593
55,P2561:P2633
26,P2604:P2634
73,P2604:P2640
